Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
Independenc,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Twentieth Century Fox,"July 3, 1996",306169268,511231623,817400891,action adventure scifi,2 hr 25 min,PG-13, Day
Pirates of the Caribbean: The Curse of the Black ,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Walt Disney Studios Motion Pictures,"July 9, 2003",305413918,348850097,654264015,action adventure fantasy,2 hr 23 min,PG-13,earl
Sk,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sony Pictures Entertainment (SPE),"October 25, 2012",304360277,804209222,1108569499,action adventure thriller,2 hr 23 min,PG-13,fall
The Hobbit: An Unexpected Jo,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Warner Bros.,,303003568,714000000,1017003568,adventure fantasy,2 hr 49 min,,rney
Harry Potter and the Half-Blood P,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Warner Bros.,"July 15, 2009",302305431,632148664,934454096,action adventure family fantasy mystery,2 hr 33 min,PG,ince
The Twilight Saga: Ec,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",Summit Entertainment,"June 30, 2010",300531751,397959596,698491347,action adventure drama fantasy romance thriller,2 hr 4 min,PG-13,ipse
The Twilight Saga: New,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",Summit Entertainment,"November 18, 2009",297816253,413209228,711025481,adventure drama fantasy romance,2 hr 10 min,PG-13,Moon
Harry Potter and the Deathly Hallows: P,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",Warner Bros.,,296347721,680695761,977043483,adventure family fantasy mystery,2 hr 26 min,,rt 1
The Sixth ,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",Walt Disney Studios Motion Pictures,"August 6, 1999",293506292,379300140,672806432,drama mystery thriller,1 hr 47 min,PG-13,ense
,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Walt Disney Studios Motion Pictures,"May 28, 2009",293004164,442094938,735099102,adventure animation comedy drama family,1 hr 36 min,PG,Up
Star Wars: Episode V - The Empire Strikes,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Twentieth Century Fox,"May 21, 1980",292753960,190685234,538375067,action adventure fantasy scifi,2 hr 4 min,PG,Back
Ince,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Warner Bros.,"July 15, 2010",292576195,544260772,836836967,action adventure scifi thriller,2 hr 28 min,PG-13,tion
Harry Potter and the Order of the Ph,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",Warner Bros.,"July 11, 2007",292353413,649818982,942172396,action adventure family fantasy mystery,2 hr 18 min,PG-13,enix
The Twilight Saga: Breaking Dawn - P,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Lionsgate,"November 14, 2012",292324737,537422917,829747654,adventure drama fantasy romance,1 hr 55 min,PG-13,rt 2
"The Chronicles of Narnia: The Lion, the Witch and the War",Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,Walt Disney Studios Motion Pictures,"December 7, 2005",291710957,453302158,745013115,adventure family fantasy,2 hr 23 min,PG,robe
