,Title,Imdb,Letterboxd,Imdb Sample Size,RYM,RYM Sample Size,Letterboxd Sample Size,Release Year,Weighted Rating
237,The Polar Express ,6.6,6.34,,4.92,,,2004,5.953333333333333
238,Gladiator ,8.5,8.02,,6.58,,,2000,7.7
239,The Croods ,7.2,6.08,,5.32,,,2013,6.2
240,Sherlock Holmes: A Game of Shadows ,7.4,6.5,,5.56,,,2011,6.486666666666667
241,The Day After Tomorrow ,6.4,5.72,,4.3,,,2004,5.473333333333333
242,Mr. & Mrs. Smith ,6.5,6.32,,4.38,,,2005,5.733333333333333
243,Snow White and the Seven Dwarfs ,7.6,6.9,,6.88,,,1937,7.126666666666668
244,Pitch Perfect 2 ,6.4,5.84,,4.68,,,2015,5.640000000000001
245,Dances with Wolves ,8.0,7.44,,6.84,,,1990,7.426666666666667
246,Batman Forever ,5.4,4.92,,4.26,,,1995,4.86
247,The Fugitive ,7.8,7.64,,6.92,,,1993,7.453333333333333
248,Black Widow ,6.7,6.28,,5.24,,,2021,6.073333333333334
249,The Revenant ,8.0,7.64,,7.12,,,2015,7.586666666666667
250,Ocean's Eleven ,7.7,7.68,,6.46,,,2001,7.28
251,The Simpsons Movie ,7.3,6.74,,5.88,,,2007,6.640000000000001
252,What Women Want ,6.4,5.42,,4.34,,,2000,5.386666666666667
253,The Perfect Storm ,6.5,6.02,,5.02,,,2000,5.846666666666667
254,Lincoln ,7.3,7.0,,6.24,,,2012,6.846666666666667
255,Liar Liar ,6.9,6.48,,5.54,,,1997,6.3066666666666675
256,Jurassic Park III ,5.9,5.44,,4.34,,,2001,5.226666666666667
257,Thor ,7.0,5.74,,5.12,,,2011,5.953333333333333
258,Mission: Impossible ,7.1,7.08,,5.94,,,1996,6.706666666666666
259,Ant-Man ,7.3,6.64,,5.86,,,2015,6.6000000000000005
260,Planet of the Apes ,5.7,4.5,,3.84,,,2001,4.68
261,Madagascar: Escape 2 Africa ,6.6,6.04,,4.92,,,2008,5.853333333333333
262,X-Men Origins: Wolverine ,6.5,4.7,,4.22,,,2009,5.14
263,Indiana Jones and the Temple of Doom ,7.5,7.22,,6.54,,,1984,7.086666666666666
264,Hitch ,6.6,5.88,,4.38,,,2005,5.62
265,Men in Black 3 ,6.8,6.06,,5.42,,,2012,6.093333333333333
266,Pretty Woman ,7.1,7.2,,5.02,,,1990,6.44
267,Home ,6.6,5.48,,4.44,,,2015,5.506666666666667
268,Night at the Museum: Battle of the Smithsonian ,6.0,5.6,,4.18,,,2009,5.26
269,Tootsie ,7.4,7.3,,6.48,,,1982,7.06
270,How to Train Your Dragon 2 ,7.8,7.36,,6.44,,,2014,7.2
271,Rise of the Planet of the Apes ,7.6,7.14,,6.22,,,2011,6.986666666666667
272,Captain America: The First Avenger ,6.9,6.64,,5.44,,,2011,6.326666666666667
273,Elf ,7.1,7.08,,5.6,,,2003,6.593333333333334
274,The Karate Kid ,6.2,5.78,,4.48,,,2010,5.486666666666667
275,There's Something About Mary ,7.1,6.42,,5.82,,,1998,6.446666666666666
276,Ice Age ,7.5,6.92,,5.86,,,2002,6.760000000000001
