Title,Imdb,Letterboxd,Rateyourmusic,,,,,,,
Spectre (2015),6.8,3.1,2.71,,,,,,,
Pearl Harbor (2001),6.2,2.67,1.61,,,,,,,
Monsters vs. Aliens (2009),6.4,2.72,2.4,,,,,,,
Happy Feet (2006),6.4,2.87,2.26,,,,,,,
Indiana Jones and the Last Crusade (1989),8.2,4.02,3.68,,,,,,,
Ice Age: Dawn of the Dinosaurs (2009),6.9,3.04,2.56,,,,,,,
Ice Age: The Meltdown (2006),6.8,3.01,2.55,,,,,,,
Mission: Impossible - Rogue Nation (2015),7.4,3.63,3.11,,,,,,,
Twilight (2008),5.3,2.95,1.77,,,,,,,
Men in Black II (2002),6.1,2.88,2.17,,,,,,,
Madagascar (2005),6.9,3.39,2.61,,,,,,,
22 Jump Street (2014),7,3.31,2.97,,,,,,,
Cars 2 (2011),6.2,2.57,2.04,,,,,,,
Teenage Mutant Ninja Turtles (2014),5.8,2.33,1.88,,,,,,,
Spider-Man: Into the Spider-Verse (2018),8.4,4.44,3.93,,,,,,,
Grease (1978),7.2,3.48,2.72,,,,,,,
Dunkirk (2017),7.8,3.78,3.44,,,,,,,
Wreck-It Ralph (2012),7.7,3.58,3.3,,,,,,,
A Quiet Place (2018),7.5,3.71,3.06,,,,,,,
Interstellar (2014),8.6,4.28,3.51,,,,,,,
The Polar Express (2004),6.6,3.17,2.46,,,,,,,
Gladiator (2000),8.5,4.01,3.29,,,,,,,
The Croods (2013),7.2,3.04,2.66,,,,,,,
Sherlock Holmes: A Game of Shadows (2011),7.4,3.25,2.78,,,,,,,
The Day After Tomorrow (2004),6.4,2.86,2.15,,,,,,,
Mr. & Mrs. Smith (2005),6.5,3.16,2.19,,,,,,,
Snow White and the Seven Dwarfs (1937),7.6,3.45,3.44,,,,,,,
Pitch Perfect 2 (2015),6.4,2.92,2.34,,,,,,,
Dances with Wolves (1990),8,3.72,3.42,,,,,,,
Batman Forever (1995),5.4,2.46,2.13,,,,,,,
The Fugitive (1993),7.8,3.82,3.46,,,,,,,
Black Widow (2021),6.7,3.14,2.62,,,,,,,
The Revenant (2015),8,3.82,3.56,,,,,,,
