,Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
91,Harry Potter and the Deathly Hallows: Part 1 ,296347721,680695761,977043483,fantasy,2010
91,Harry Potter and the Deathly Hallows: Part 1 ,296347721,680695761,977043483,mystery,2010
92,The Sixth Sense ,293506292,379300140,672806432,drama,1999
92,The Sixth Sense ,293506292,379300140,672806432,mystery,1999
92,The Sixth Sense ,293506292,379300140,672806432,thriller,1999
93,Up ,293004164,442094938,735099102,adventure,2009
93,Up ,293004164,442094938,735099102,animation,2009
93,Up ,293004164,442094938,735099102,comedy,2009
93,Up ,293004164,442094938,735099102,drama,2009
93,Up ,293004164,442094938,735099102,family,2009
94,Star Wars: Episode V - The Empire Strikes Back ,292753960,190685234,538375067,action,1980
94,Star Wars: Episode V - The Empire Strikes Back ,292753960,190685234,538375067,adventure,1980
94,Star Wars: Episode V - The Empire Strikes Back ,292753960,190685234,538375067,fantasy,1980
94,Star Wars: Episode V - The Empire Strikes Back ,292753960,190685234,538375067,scifi,1980
95,Inception ,292576195,544260772,836836967,action,2010
95,Inception ,292576195,544260772,836836967,adventure,2010
95,Inception ,292576195,544260772,836836967,scifi,2010
95,Inception ,292576195,544260772,836836967,thriller,2010
96,Harry Potter and the Order of the Phoenix ,292353413,649818982,942172396,action,2007
96,Harry Potter and the Order of the Phoenix ,292353413,649818982,942172396,adventure,2007
96,Harry Potter and the Order of the Phoenix ,292353413,649818982,942172396,family,2007
96,Harry Potter and the Order of the Phoenix ,292353413,649818982,942172396,fantasy,2007
96,Harry Potter and the Order of the Phoenix ,292353413,649818982,942172396,mystery,2007
97,The Twilight Saga: Breaking Dawn - Part 2 ,292324737,537422917,829747654,adventure,2012
97,The Twilight Saga: Breaking Dawn - Part 2 ,292324737,537422917,829747654,drama,2012
97,The Twilight Saga: Breaking Dawn - Part 2 ,292324737,537422917,829747654,fantasy,2012
97,The Twilight Saga: Breaking Dawn - Part 2 ,292324737,537422917,829747654,romance,2012
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",291710957,453302158,745013115,adventure,2005
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",291710957,453302158,745013115,family,2005
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",291710957,453302158,745013115,fantasy,2005
99,Man of Steel ,291045518,377000000,668045518,action,2013
99,Man of Steel ,291045518,377000000,668045518,adventure,2013
99,Man of Steel ,291045518,377000000,668045518,scifi,2013
100,"Monsters, Inc. ",290642256,289065482,579707738,adventure,2001
100,"Monsters, Inc. ",290642256,289065482,579707738,animation,2001
100,"Monsters, Inc. ",290642256,289065482,579707738,comedy,2001
